batch_id,medicine_id,batch_number,manufacturing_date,expiry_date,import_price
1,1,MXUYZRBTDD,2021-07-07,2027-06-26,83.77529853050252
2,1,NQPQDXIT2G,2022-04-11,2024-01-29,96.92815260863831
3,1,MCQIYYLBUL,2021-11-12,2027-03-22,86.69804931035061
4,1,UFH02VNAT4,2020-11-05,2024-08-12,13.542116745914585
5,2,9C8LRPUDJR,2020-11-14,2025-08-03,90.32634372317469
6,2,PSU4USZBAU,2022-09-19,2026-02-19,88.71089230052782
7,2,A5OIKAKRYE,2023-09-05,2026-01-07,43.021463987837414
8,2,QS5IQNQ9R3,2022-01-26,2024-12-29,29.503921233396834
9,3,LEQ5GDVYEC,2022-06-28,2024-10-26,62.926152221628435
10,3,Y6ZUDQLKCY,2020-06-26,2027-06-03,11.204808630804832
11,3,B4YZQNY8G2,2023-06-24,2024-10-03,87.66145805659444
12,3,FY4GA5W787,2023-03-18,2025-12-30,66.07304698438179
13,4,DLEO1XO7KN,2020-09-27,2025-05-28,87.00047969513611
14,4,7VCCRFMESG,2021-04-29,2026-07-29,60.28528660447756
15,4,P8QRM2YWYU,2022-03-26,2024-08-09,1.8859926876152013
16,4,TZ1CA4JP2C,2021-07-21,2024-09-01,36.59955170128022
17,5,FQG8ZXTKMS,2023-09-20,2024-08-05,33.962172603965094
18,5,I3G4WJ2CGO,2021-02-01,2027-05-31,90.37812135252459
19,5,JDCCWZA6BX,2020-03-09,2025-04-25,36.34359623239864
20,5,VLIXFYBTFS,2021-11-01,2026-01-26,85.23473519795009
21,6,B48HO0M1PZ,2023-08-04,2027-03-16,17.979992266116778
22,6,LUFP7QWHMP,2021-03-19,2027-01-19,87.648320647988
23,6,TY36M5E097,2020-06-15,2026-11-20,41.82821941810855
24,6,6O7HGDNHIN,2021-10-30,2027-03-01,60.959173128416296
25,7,U2F36J81PU,2022-03-26,2025-01-25,8.121499037351892
26,7,XO8ZQP88NE,2023-07-27,2024-09-03,52.37850762763767
27,7,BY956NKTYU,2021-02-19,2025-09-21,71.45523501684497
28,7,VDOSYIYKZA,2023-01-27,2024-08-04,66.82107745073273
29,8,UTYDJEUWBV,2022-11-09,2026-04-02,1.4134693841814967
30,8,C76LYAS7OQ,2023-10-12,2027-02-13,44.20022495501466
31,8,XHBGXT6YFM,2022-11-05,2025-11-17,21.737045981569075
32,8,I6UDK8UXQS,2020-10-14,2027-08-22,43.528270988044184
33,9,3JVKZUT7Q4,2023-03-11,2026-08-31,9.58335323351623
34,9,JHXGDSGIH2,2020-02-13,2027-06-27,16.76664992997278
35,9,1HHR3O6P5F,2023-09-06,2026-09-17,64.87214455541212
36,9,IFVRAEEH2C,2022-06-25,2024-10-04,77.18723418883627
37,10,GOBULWS0VO,2022-05-20,2027-05-02,44.031792422378174
38,10,KS9HWJZW8X,2020-03-30,2025-05-28,94.73840185545203
39,10,GNFHRYDDSM,2022-02-21,2025-03-19,5.897790983284773
40,10,00AVF9G6KW,2020-09-16,2026-07-06,7.278556498065049
41,11,UUYUSYIKOB,2020-01-27,2026-06-11,33.851320992926354
42,11,NRL6I7EF2W,2021-06-17,2026-03-01,98.80245426103616
43,11,YIOTWYZQZB,2022-08-22,2024-09-09,65.76090683547193
44,11,XCSYQ0XLWL,2022-04-22,2027-04-08,17.32770652302982
45,12,0NW4TNL6EE,2020-03-21,2025-12-12,22.60741172964193
46,12,NMDXXOSWFK,2020-08-19,2024-09-05,81.21248008917414
47,12,P8NXTU9XSN,2022-03-24,2024-04-08,75.80058186642634
48,12,OGX4TKFLYQ,2022-09-14,2025-10-09,89.44598210643608
49,13,FPG4CM5NKV,2023-10-03,2024-02-26,74.07597891096158
50,13,9NY9V5N3CU,2021-02-22,2024-03-14,62.58674814608894
51,13,QPIXDZCC0L,2022-10-03,2027-09-15,10.595071120915762
