inventory_id,branch_id,batch_id,quantity,last_updated
1,1,1,844,2026-01-19 19:46:47
2,2,1,934,2026-01-20 04:06:04
3,3,1,800,2026-01-20 01:15:37
4,4,1,680,2026-01-20 02:51:24
5,5,1,363,2026-01-20 01:50:09
6,1,2,305,2026-01-19 15:44:29
7,2,2,246,2026-01-20 05:58:08
8,3,2,808,2026-01-19 22:11:19
9,4,2,141,2026-01-19 23:02:02
10,5,2,627,2026-01-19 19:47:01
11,1,3,142,2026-01-20 01:19:43
12,2,3,990,2026-01-19 15:29:48
13,3,3,504,2026-01-20 11:31:57
14,4,3,239,2026-01-20 01:50:48
15,5,3,291,2026-01-19 16:32:30
16,1,4,356,2026-01-19 19:19:04
17,2,4,615,2026-01-19 19:02:14
18,3,4,816,2026-01-20 03:10:53
19,4,4,596,2026-01-20 03:34:00
20,5,4,5,2026-01-20 03:56:57
21,1,5,299,2026-01-20 02:59:42
22,2,5,765,2026-01-20 12:20:39
23,3,5,147,2026-01-20 08:27:29
24,4,5,971,2026-01-19 15:05:46
25,5,5,208,2026-01-19 15:30:35
26,1,6,377,2026-01-20 09:50:39
27,2,6,366,2026-01-19 19:51:59
28,3,6,-45,2026-01-20 14:18:52
29,4,6,372,2026-01-20 11:30:15
30,5,6,683,2026-01-20 10:09:59
31,1,7,204,2026-01-19 19:59:35
32,2,7,841,2026-01-20 03:36:25
33,3,7,286,2026-01-20 06:34:25
34,4,7,324,2026-01-20 09:24:38
35,5,7,154,2026-01-20 01:35:18
36,1,8,416,2026-01-19 18:06:39
37,2,8,54,2026-01-19 18:53:46
38,3,8,296,2026-01-20 02:32:54
39,4,8,508,2026-01-20 00:46:26
40,5,8,587,2026-01-19 15:04:19
41,1,9,104,2026-01-20 05:29:24
42,2,9,173,2026-01-20 01:06:39
43,3,9,380,2026-01-20 08:11:18
44,4,9,713,2026-01-20 14:05:51
45,5,9,710,2026-01-20 13:56:36
46,1,10,177,2026-01-20 12:27:14
47,2,10,221,2026-01-19 22:14:02
48,3,10,852,2026-01-20 07:57:36
49,4,10,280,2026-01-20 09:10:23
50,5,10,715,2026-01-20 11:10:03
51,1,11,531,2026-01-19 18:31:13
52,2,11,202,2026-01-19 18:24:08
53,3,11,879,2026-01-19 21:12:52
54,4,11,481,2026-01-20 09:20:40
55,5,11,861,2026-01-20 10:19:42
56,1,12,712,2026-01-20 04:05:56
57,2,12,661,2026-01-20 09:04:17
58,3,12,251,2026-01-20 09:30:44
59,4,12,116,2026-01-20 07:16:16
60,5,12,679,2026-01-20 12:35:24
61,1,13,867,2026-01-20 06:03:41
62,2,13,587,2026-01-19 21:50:45
63,3,13,975,2026-01-20 09:07:50
64,4,13,721,2026-01-20 14:39:49
65,5,13,838,2026-01-20 03:43:59
66,1,14,397,2026-01-19 21:29:41
67,2,14,366,2026-01-19 15:03:54
68,3,14,788,2026-01-20 07:10:06
69,4,14,812,2026-01-19 20:51:26
70,5,14,604,2026-01-20 11:15:41
71,1,15,440,2026-01-19 16:17:14
72,2,15,787,2026-01-19 23:34:41
73,3,15,993,2026-01-20 09:14:36
74,4,15,710,2026-01-20 11:39:36
75,5,15,978,2026-01-20 10:43:30
76,1,16,136,2026-01-19 20:43:32
77,2,16,781,2026-01-19 20:29:53
78,3,16,326,2026-01-20 04:49:02
79,4,16,333,2026-01-20 12:11:31
80,5,16,340,2026-01-19 15:43:51
81,1,17,44,2026-01-19 17:40:09
82,2,17,418,2026-01-20 07:31:32
83,3,17,261,2026-01-19 15:11:39
84,4,17,388,2026-01-19 21:35:45
85,5,17,560,2026-01-20 07:22:54
86,1,18,863,2026-01-20 11:18:13
87,2,18,786,2026-01-19 15:07:44
88,3,18,685,2026-01-19 16:02:32
89,4,18,380,2026-01-20 07:28:24
90,5,18,906,2026-01-20 01:08:19
91,1,19,215,2026-01-20 09:23:41
92,2,19,-7,2026-01-20 13:05:33
93,3,19,307,2026-01-19 17:53:37
94,4,19,751,2026-01-20 00:13:32
95,5,19,33,2026-01-20 01:40:32
96,1,20,406,2026-01-19 19:27:45
97,2,20,954,2026-01-20 12:22:26
98,3,20,606,2026-01-19 20:01:36
99,4,20,717,2026-01-19 23:41:46
100,5,20,780,2026-01-19 16:44:15
101,1,21,219,2026-01-20 02:33:39
102,2,21,809,2026-01-20 14:30:36
103,3,21,49,2026-01-19 20:47:29
104,4,21,998,2026-01-19 20:19:02
105,5,21,108,2026-01-20 07:37:01
106,1,22,815,2026-01-20 12:25:16
107,2,22,156,2026-01-19 20:09:58
108,3,22,431,2026-01-19 23:55:02
109,4,22,138,2026-01-20 00:04:57
110,5,22,385,2026-01-20 12:37:23
111,1,23,964,2026-01-20 00:33:52
112,2,23,718,2026-01-20 10:58:08
113,3,23,45,2026-01-20 14:56:53
114,4,23,2,2026-01-20 10:00:48
115,5,23,205,2026-01-20 02:16:24
116,1,24,679,2026-01-19 17:13:17
117,2,24,269,2026-01-20 10:47:26
118,3,24,29,2026-01-19 20:36:07
119,4,24,890,2026-01-19 15:55:00
120,5,24,385,2026-01-20 11:33:01
121,1,25,-16,2026-01-20 11:58:35
122,2,25,626,2026-01-20 09:40:42
123,3,25,295,2026-01-20 14:04:11
124,4,25,814,2026-01-20 03:56:24
125,5,25,200,2026-01-20 03:24:30
126,1,26,470,2026-01-19 15:39:40
127,2,26,241,2026-01-19 18:30:04
128,3,26,579,2026-01-20 14:47:22
129,4,26,39,2026-01-20 00:37:56
130,5,26,97,2026-01-19 17:11:29
131,1,27,831,2026-01-20 00:23:43
132,2,27,191,2026-01-19 17:59:14
133,3,27,784,2026-01-20 11:27:09
134,4,27,670,2026-01-19 20:50:47
135,5,27,432,2026-01-19 21:57:14
136,1,28,883,2026-01-20 04:41:31
137,2,28,303,2026-01-20 09:25:41
138,3,28,452,2026-01-20 00:24:09
139,4,28,709,2026-01-20 09:52:15
140,5,28,668,2026-01-20 12:07:24
141,1,29,972,2026-01-20 09:18:26
142,2,29,389,2026-01-20 12:11:11
143,3,29,809,2026-01-20 04:39:21
144,4,29,203,2026-01-19 17:20:39
145,5,29,741,2026-01-20 11:25:25
146,1,30,832,2026-01-20 13:13:26
147,2,30,310,2026-01-20 11:39:04
148,3,30,521,2026-01-20 02:42:46
149,4,30,317,2026-01-20 09:49:10
150,5,30,212,2026-01-20 00:02:31
151,1,31,777,2026-01-20 02:12:42
152,2,31,196,2026-01-19 21:54:02
153,3,31,476,2026-01-19 18:59:53
154,4,31,88,2026-01-20 01:53:15
155,5,31,984,2026-01-20 13:56:12
156,1,32,352,2026-01-20 03:59:23
157,2,32,143,2026-01-20 04:38:18
158,3,32,331,2026-01-19 15:02:56
159,4,32,59,2026-01-20 01:13:43
160,5,32,482,2026-01-19 17:28:38
161,1,33,404,2026-01-20 10:23:00
162,2,33,865,2026-01-20 11:34:23
163,3,33,602,2026-01-20 13:30:20
164,4,33,486,2026-01-20 08:25:43
165,5,33,319,2026-01-19 23:41:08
166,1,34,589,2026-01-19 16:20:30
167,2,34,837,2026-01-20 06:52:10
168,3,34,891,2026-01-20 07:20:24
169,4,34,344,2026-01-20 04:14:51
170,5,34,359,2026-01-19 15:17:52
171,1,35,415,2026-01-19 22:30:42
172,2,35,621,2026-01-19 23:23:36
173,3,35,340,2026-01-20 12:13:13
174,4,35,801,2026-01-20 05:55:12
175,5,35,260,2026-01-19 22:20:04
176,1,36,137,2026-01-20 00:02:25
177,2,36,64,2026-01-19 17:54:45
178,3,36,621,2026-01-19 22:08:31
179,4,36,301,2026-01-19 23:14:18
180,5,36,59,2026-01-20 07:38:33
181,1,37,235,2026-01-19 22:19:09
182,2,37,481,2026-01-19 20:16:35
183,3,37,604,2026-01-20 10:03:02
184,4,37,-79,2026-01-19 20:55:41
185,5,37,343,2026-01-20 06:59:35
186,1,38,758,2026-01-19 15:56:27
187,2,38,914,2026-01-19 21:03:09
188,3,38,110,2026-01-20 05:04:38
189,4,38,938,2026-01-19 19:43:24
190,5,38,346,2026-01-19 19:18:43
191,1,39,694,2026-01-19 19:30:05
192,2,39,240,2026-01-20 13:01:56
193,3,39,-19,2026-01-20 01:31:02
194,4,39,752,2026-01-20 11:53:56
195,5,39,561,2026-01-20 02:24:16
196,1,40,306,2026-01-20 12:01:28
197,2,40,562,2026-01-20 10:17:07
198,3,40,832,2026-01-20 11:48:48
199,4,40,356,2026-01-20 10:53:58
200,5,40,360,2026-01-20 02:51:18
201,1,41,414,2026-01-19 15:24:26
202,2,41,785,2026-01-19 21:59:12
203,3,41,9,2026-01-20 13:49:45
204,4,41,826,2026-01-20 12:22:30
205,5,41,545,2026-01-20 04:10:39
206,1,42,235,2026-01-19 19:20:13
207,2,42,214,2026-01-19 19:50:16
208,3,42,223,2026-01-19 17:56:24
209,4,42,231,2026-01-20 01:31:07
210,5,42,117,2026-01-20 03:41:50
211,1,43,807,2026-01-19 16:52:31
212,2,43,184,2026-01-20 03:44:09
213,3,43,654,2026-01-20 03:56:29
214,4,43,600,2026-01-20 05:38:29
215,5,43,724,2026-01-19 18:17:52
216,1,44,645,2026-01-20 00:45:06
217,2,44,861,2026-01-19 15:51:52
218,3,44,393,2026-01-19 17:25:37
219,4,44,634,2026-01-20 11:50:01
220,5,44,25,2026-01-20 02:47:19
221,1,45,-72,2026-01-20 09:57:00
222,2,45,761,2026-01-19 15:00:20
223,3,45,460,2026-01-20 07:19:29
224,4,45,537,2026-01-20 10:07:02
225,5,45,656,2026-01-19 18:23:28
226,1,46,569,2026-01-19 15:40:51
227,2,46,622,2026-01-19 15:14:21
228,3,46,712,2026-01-19 15:41:59
229,4,46,733,2026-01-19 16:17:19
230,5,46,679,2026-01-20 07:40:33
231,1,47,961,2026-01-20 04:59:39
232,2,47,437,2026-01-19 19:33:44
233,3,47,777,2026-01-19 23:22:11
234,4,47,660,2026-01-19 20:53:20
235,5,47,175,2026-01-20 09:04:06
236,1,48,666,2026-01-20 00:49:14
237,2,48,-43,2026-01-20 07:04:11
238,3,48,796,2026-01-20 05:09:42
239,4,48,594,2026-01-19 21:43:33
240,5,48,689,2026-01-20 11:04:29
241,1,49,778,2026-01-20 08:22:55
242,2,49,977,2026-01-20 01:08:38
243,3,49,360,2026-01-20 10:51:22
244,4,49,955,2026-01-20 02:34:50
245,5,49,993,2026-01-19 18:06:42
246,1,50,677,2026-01-19 21:13:32
247,2,50,34,2026-01-19 21:45:19
248,3,50,882,2026-01-19 20:52:07
249,4,50,362,2026-01-20 13:24:13
250,5,50,835,2026-01-20 07:27:13
251,1,51,982,2026-01-20 03:52:36
