invoice_id,branch_id,pharmacist_id,customer_id,total_amount,sale_date
1,4,4,843,1265.08,2025-11-05 10:07:06
2,5,5,603,441.96,2025-03-12 14:30:43
3,5,5,172,1677.49,2025-04-05 02:16:27
4,3,3,221,1876.69,2025-08-09 23:13:34
5,3,3,137,2241.57,2025-12-04 20:43:07
6,3,3,413,2048.65,2025-04-22 06:41:25
7,2,2,402,2327.72,2025-10-05 00:00:09
8,2,2,927,1433.16,2025-03-25 19:04:39
9,3,3,682,1738.65,2025-05-27 17:17:19
10,3,3,212,1688.44,2025-12-03 15:16:08
11,1,1,138,3000.85,2025-04-01 17:38:06
12,1,1,228,1612.24,2025-11-15 11:24:16
13,4,4,736,218.22,2025-06-20 10:00:18
14,3,3,544,1887.28,2025-09-15 19:01:27
15,2,2,538,39.02,2025-06-12 03:09:54
16,1,1,960,2006.65,2025-01-21 06:07:15
17,4,4,41,253.80,2025-03-23 17:05:29
18,4,4,430,2173.16,2025-10-10 11:55:35
19,3,3,203,693.23,2025-08-24 18:04:56
20,2,2,631,1594.63,2025-09-16 08:39:31
21,4,4,688,2314.48,2025-06-21 11:16:18
22,5,5,429,1448.79,2025-09-16 06:57:25
23,3,3,504,882.01,2025-12-21 13:42:59
24,1,1,396,56.97,2025-09-29 07:04:44
25,4,4,205,104.79,2025-05-30 13:33:39
26,2,2,794,293.46,2025-12-24 20:00:02
27,4,4,781,1968.78,2025-05-22 16:59:48
28,5,5,323,2239.86,2025-10-30 09:05:40
29,1,1,997,454.34,2026-01-01 11:09:52
30,1,1,640,1742.03,2025-04-06 07:17:33
31,5,5,14,817.66,2025-05-07 11:29:59
32,4,4,122,972.84,2025-05-13 13:02:11
33,5,5,25,2970.13,2025-03-03 07:51:27
34,1,1,984,615.56,2025-03-03 11:51:48
35,2,2,1000,143.80,2025-04-24 13:25:49
36,2,2,297,540.81,2025-06-24 10:42:36
37,4,4,170,2043.53,2025-02-08 00:00:38
38,4,4,944,773.18,2025-08-30 06:25:35
39,3,3,502,1915.46,2025-01-24 23:00:45
40,5,5,534,1427.91,2025-06-13 16:09:25
41,1,1,696,1658.82,2025-04-21 00:08:14
42,3,3,353,1592.69,2025-07-02 01:44:40
43,3,3,879,200.05,2025-06-02 19:56:31
44,3,3,489,184.63,2025-07-21 21:36:08
45,1,1,178,58.37,2025-08-06 23:39:29
46,1,1,715,2601.92,2025-09-24 14:13:07
47,1,1,549,2181.05,2025-03-10 12:40:05
48,2,2,383,2256.58,2025-12-06 11:30:50
49,3,3,396,1715.51,2026-01-16 21:57:29
50,4,4,235,3236.21,2025-09-28 10:00:45
51,4,4,528,3472.86,2025-03-24 10:58:35
52,3,3,965,276.42,2025-12-12 17:28:14
53,5,5,805,891.31,2025-08-11 00:41:17
54,4,4,51,774.05,2025-02-16 02:54:22
55,4,4,871,1042.21,2025-01-21 04:36:23
56,2,2,56,2756.60,2025-08-20 06:17:38
57,4,4,268,1672.22,2025-08-13 12:26:57
58,5,5,62,1674.08,2025-07-27 09:14:36
59,3,3,548,2232.72,2025-12-23 22:11:59
60,1,1,477,1719.72,2025-10-01 17:48:25
61,3,3,278,1060.82,2025-11-05 01:11:44
62,1,1,81,762.53,2025-08-21 12:41:28
63,1,1,830,199.32,2025-01-28 11:32:51
64,1,1,347,812.23,2025-03-01 06:50:30
65,3,3,114,1069.70,2025-04-20 14:55:53
66,5,5,200,2150.63,2025-12-21 05:18:36
67,5,5,232,592.99,2025-03-19 09:02:13
68,5,5,286,2011.82,2025-04-15 14:30:40
69,2,2,146,503.57,2025-03-21 16:11:48
70,4,4,462,1328.09,2025-02-15 13:26:47
71,2,2,891,1286.53,2025-06-02 18:22:41
72,4,4,382,3211.29,2025-09-04 11:22:21
73,5,5,997,2444.76,2025-02-23 19:36:20
74,4,4,918,73.77,2025-12-04 21:04:30
75,3,3,961,665.97,2025-12-28 09:50:53
76,5,5,547,446.78,2025-11-12 21:37:04
77,1,1,371,1812.52,2026-01-04 21:09:39
78,4,4,652,857.94,2025-06-13 02:03:32
79,4,4,961,760.24,2025-11-04 20:20:43
80,5,5,143,442.19,2025-07-11 12:24:29
81,5,5,531,433.30,2025-03-31 09:15:00
82,2,2,52,1947.96,2025-03-23 23:45:00
83,4,4,699,1292.02,2025-07-30 23:21:53
84,4,4,269,1383.37,2025-05-17 15:37:12
85,1,1,156,2132.92,2025-02-05 11:10:15
86,3,3,526,320.13,2025-07-04 23:48:18
87,5,5,790,344.60,2026-01-11 10:23:46
88,5,5,875,1179.82,2025-04-29 01:53:14
89,2,2,374,2842.94,2025-11-13 21:17:22
90,2,2,266,136.02,2025-05-12 22:30:14
91,3,3,718,1104.78,2025-04-20 19:07:23
92,3,3,472,921.88,2026-01-07 18:29:16
93,1,1,577,1811.06,2025-08-25 16:34:10
94,1,1,661,1600.11,2025-05-05 00:58:48
95,2,2,8,685.39,2025-09-05 04:18:20
96,3,3,433,1776.29,2025-10-18 11:36:03
97,5,5,407,1823.88,2025-07-07 11:36:34
98,4,4,42,2339.74,2025-03-08 04:01:14
99,1,1,493,2012.53,2025-11-13 19:50:20
100,4,4,520,2153.77,2025-07-19 12:37:09
101,1,1,401,1770.88,2025-10-01 16:46:40
102,1,1,464,1624.78,2025-02-27 21:25:55
103,3,3,777,530.86,2025-01-25 10:42:38
104,1,1,380,112.40,2025-04-21 22:14:20
105,1,1,529,1427.84,2025-12-23 12:51:32
106,1,1,904,1138.58,2025-10-26 23:43:42
107,2,2,696,1568.05,2025-05-04 07:06:52
108,1,1,496,1228.86,2025-08-05 09:29:54
109,5,5,938,1314.94,2025-02-28 12:30:30
110,3,3,658,2006.19,2025-11-28 10:27:04
111,1,1,720,1066.56,2025-07-25 22:32:51
112,1,1,882,581.70,2025-04-15 05:11:19
113,2,2,177,1152.76,2025-04-25 14:53:51
114,1,1,863,111.60,2025-09-26 18:56:24
115,1,1,21,473.17,2025-09-17 07:49:25
116,2,2,249,2251.35,2025-02-23 19:27:09
117,3,3,815,357.74,2025-07-31 23:56:30
118,3,3,464,1018.15,2025-10-27 05:43:10
119,2,2,988,1774.16,2025-02-09 15:49:20
120,4,4,629,2244.64,2025-04-05 18:14:48
121,5,5,343,2855.67,2025-08-20 23:40:57
122,2,2,547,155.91,2025-03-17 09:35:13
123,2,2,824,1986.35,2025-05-29 07:08:32
124,3,3,662,2178.99,2025-01-31 05:30:29
125,2,2,726,3264.69,2025-05-24 21:24:53
126,5,5,538,237.39,2025-09-04 05:53:36
127,2,2,426,1525.46,2025-06-20 17:59:44
128,4,4,214,1721.57,2025-04-07 00:20:25
129,5,5,52,1508.35,2025-10-10 00:37:59
130,5,5,114,1200.19,2025-11-02 18:53:21
131,1,1,268,2811.17,2025-05-10 04:53:49
132,5,5,729,1045.01,2025-11-13 02:44:57
133,5,5,111,2989.42,2025-12-10 17:33:21
134,4,4,324,3336.06,2025-06-25 11:50:30
135,3,3,151,2728.24,2025-03-25 04:12:51
136,1,1,209,2141.50,2025-02-27 23:38:31
137,1,1,503,1279.05,2025-12-21 18:07:23
138,2,2,847,1935.51,2025-09-11 16:08:07
139,1,1,221,161.30,2025-03-14 15:39:20
140,5,5,328,1012.14,2025-08-02 19:04:27
141,5,5,12,33.72,2025-03-22 05:15:51
142,1,1,443,1240.42,2025-05-27 01:08:07
143,2,2,472,882.61,2025-07-11 10:10:54
144,1,1,304,2320.67,2025-08-20 22:13:41
145,4,4,949,1079.11,2026-01-09 01:28:14
146,5,5,682,2998.26,2025-08-12 10:18:32
147,4,4,710,1329.70,2025-05-17 11:37:48
148,3,3,864,1763.30,2025-10-20 09:57:15
149,5,5,218,2726.10,2025-04-04 22:56:09
150,1,1,636,1783.10,2025-03-31 21:48:22
151,5,5,931,1450.56,2025-03-23 15:48:30
152,3,3,274,2926.09,2025-06-30 01:21:15
153,1,1,454,409.30,2025-09-16 00:05:17
154,5,5,423,528.58,2025-10-11 13:20:53
